channel,mae_analysis_std,mae_bg_std,rmse_analysis_std,rmse_bg_std,bias_analysis_std,bias_bg_std,std_era5,mae_climatology_std,mean_abs_analysis_minus_bg,mae_analysis_phys,mae_bg_phys,improve_pct
v700,0.13063775254693225,0.1304489993699741,0.18073990563189637,0.1805913192790588,-0.0029976191815166246,-0.007763666918226069,6.146186351776123,0.8899267803560101,0.013115400816785838,0.8029239717306614,0.8017638595305868,-0.34649914601974213
v850,0.13855772770659244,0.13845958132155795,0.19045688356199406,0.19036851785404538,-0.0001308196650247143,-0.001975800116047245,5.477151870727539,0.7751275711152725,0.010914612421913753,0.7589017175119198,0.7583641548555229,-0.34649914601974213
v925,0.12057833526015137,0.12060518309019133,0.16723103786867252,0.16730652401811102,0.0012595510412739892,0.001144200461360561,5.519107341766357,0.7027899223951776,0.009717091026469173,0.6654847753922667,0.6656329514481507,-0.34649914601974213
v1000,0.10814890781165043,0.10806533540998187,0.15506517177479498,0.15507597790551256,0.0005454205006124481,8.559360390617734e-05,4.367448329925537,0.6080048250191378,0.008688712903140374,0.47233476680526354,0.4719697686591683,-0.34649914601974213
r50,0.020264849651136386,0.019986756936679975,0.05579191265203042,0.05575937391102999,-0.00020990519241972285,-0.0009928603205256736,7.910320281982422,0.6283634635729668,0.002331780570039528,0.16030145120670855,0.15810164876727245,-0.34649914601974213
r100,0.01813631607935979,0.017992284562852647,0.03161063284408709,0.03155349975107284,-0.0007489344128890826,-0.0017322025191088882,14.413284301757812,1.5471798549554288,0.002471616404979366,0.2614038798383542,0.2593279126425235,-0.34649914601974213
r150,0.037278860596364524,0.037184374582782044,0.08903620622293158,0.0890934401468905,-0.0039574436135862995,-0.005435419816282715,18.7956600189209,1.0940593755812873,0.0029059184558225637,0.7006807896620144,0.698904862674175,-0.34649914601974213
r200,0.0992815435500372,0.09929281876346276,0.1761694995025574,0.17618195198840228,-0.008052392285021524,-0.0027439783502629387,28.803089141845703,0.8967452481261685,0.007590693985003983,2.859615149011758,2.8599399099891474,-0.34649914601974213
r250,0.14665369287660854,0.14688085488492897,0.22405507317986875,0.22451077259466967,-0.00357268245520027,-0.008535490645521,33.001731872558594,0.8388927434564947,0.01270442781285343,4.839825850434392,4.847322590124614,-0.34649914601974213
r300,0.18861311142843432,0.1890158485347389,0.2786493654142484,0.2788391782675038,0.0002937202093729315,-0.005760566065308521,30.969409942626953,0.8708566649347289,0.01791336011246156,5.841236768381559,5.853709298925813,-0.34649914601974213
r400,0.20443494459066053,0.20544631860195062,0.3006070576829009,0.3013769452625138,-0.0020014123816011298,-0.015377364047281034,28.41872787475586,0.9353225991199013,0.023384571750813207,5.809781058412774,5.838523021219228,-0.34649914601974213
r500,0.17611083192557497,0.17680615486825052,0.2634536163732041,0.26424811873817056,-0.0031325391428465516,-0.01706564273116644,28.09234619140625,0.9291923424204919,0.021160918545519186,4.947366458509812,4.9668997113302815,-0.34649914601974213
